video_title,view_count,like_count,comment_count,channel_name,subscriber_count
I Made This Painting From Lotus | താമരപ്പൂ കൊണ്ട് പേപ്പർ ഉണ്ടാക്കിയപ്പോൾ | M4 Tech |,1240817,34453,1050,M4 Tech,13700000
60 Kg Giant StingRay In Mud Hole | തിരണ്ടി ചുട്ട് കറിവെച്ചപ്പോൾ | M4 Tech |,2044533,41321,784,M4 Tech,13700000
കടലിൽ മീൻ പിടിക്കാൻ കടലിന്റെ മക്കളുടെ ഒപ്പം | Sea Fishing | Day In My Life | M4 Tech |,1208388,34329,618,M4 Tech,13700000
എന്താണ്  PRP & Hair Transplantation ചികിത്സ നിങ്ങൾ അറിയേണ്ടതെല്ലാം | M4 Tech |,708200,18637,502,M4 Tech,13700000
ഈ ഓണം  EMMA യോടാപ്പം #shorts,716313,24564,93,M4 Tech,13700000
Giant Hamour Mud Hole Recipe | ഈ മീനെ കുഴിയിലിട്ട് ചുട്ടാലോ | M4 TECH |,1587198,50164,993,M4 Tech,13700000
30 Small Boat Fishing | Will It Work ??? | കുഞ്ഞിബോട്ട്  മീൻ പിടുത്തം | M4 Tech |,1324840,33513,730,M4 Tech,13700000
Hydrogen Torch Making | വെള്ളത്തിൽനിന്നും ഹൈഡ്രജൻ ഉണ്ടാകുന്ന വിദ്യ | M4 Tech |,937260,32764,641,M4 Tech,13700000
I Made Paper From Grass | പുല്ലുകൊണ്ട് പേപ്പർ ഉണ്ടാക്കി | M4 Tech |,1799751,78790,2555,M4 Tech,13700000
ലോകത്തിലെ ആദ്യത്തെ വോയിസ് റെക്കോർഡർ | Worlds First Voice Recorder | M4 Tech |,1108458,50679,1160,M4 Tech,13700000
24hr In Deep Forest Camping | കൊടും കാട്ടിൽ ക്യാമ്പിങ്ങിന് പോയപ്പോൾ | M4 Tech |,4574941,69505,1261,M4 Tech,13700000
കുഞ്ഞൂട്ടൻ പുതിയ ടീവി വാങ്ങിയപ്പോൾ #shorts,1234043,37080,165,M4 Tech,13700000
Bamboo SnakeHead Recipe | മുളയിൽ ചുട്ട വരാൽ | M4 Tech |,2034833,47559,770,M4 Tech,13700000
Magical Flower Experiment | മാന്ത്രിക റോസാപൂ പരീക്ഷെണം | M4 Tech |,840101,24303,541,M4 Tech,13700000
സിംഹക്കുട്ടിയെ നാട്ടിലേക്ക് കൊണ്ടുവന്നാലോ | Lion Vs Crocodile Real Experience In Thailand | M4 Tech,2721738,39272,797,M4 Tech,13700000
Adventure River Rafting In Thailand | തായ്‌ലൻഡിലെ കൈ വിട്ട കളി | M4 Tech |,555792,16236,345,M4 Tech,13700000
കടൽ ഞണ്ട് ചുട്ട് കടൽ കാഴ്ച കണ്ട് | Ocean Crab Fry | M4 Tech |,1114687,24428,456,M4 Tech,13700000
One Day With Elephant | ആനയും ഞാനും പിന്നെ | M4 Tech |,2497450,31659,633,M4 Tech,13700000
We are Going | ഞങ്ങൾ നാട് വിടുന്നു | M4 Tech |,1205408,35169,847,M4 Tech,13700000
Crab Trap With Lobster | കൊഞ്ചിനെ വെച്ച് ഞണ്ടിനെ പിടിക്കുന്ന സൂത്രം | M4 Tech |,2353968,54320,960,M4 Tech,13700000
Drone Fishing Gone Wrong | 1999 രൂപക്ക് കിടിലൻ ഡ്രോൺ | M4 Tech |,1587341,38487,963,M4 Tech,13700000
Oreo Chocolate Cake | Giant Oreo Cake Recipe | ഒറിയോ ബിസ്‌ക്കറ് കൊണ്ട് കേക്ക് | M4 Tech |,2413957,43853,943,M4 Tech,13700000
She can make electricity😲|dog wheel | പട്ടിയെ കറക്കി കറന്റ്‌ ഉണ്ടാക്കിയപ്പോൾ M4tech,1984722,33124,920,M4 Tech,13700000
Experiments Gone Wrong | പരീക്ഷണം പണിപാളിയപ്പോൾ | M4 Tech |,1421462,26975,646,M4 Tech,13700000
Heavenly Chicken Recipe | സ്വർഗീയ കോഴി ഉണ്ടാക്കിയാലോ | M4 Tech |,3211970,67890,1573,M4 Tech,13700000
കരിമീൻ കരിവാണപ്പൊങ്കാല | Karivana Pongala | M4 Tech |,1249205,31669,848,M4 Tech,13700000
Tent Kart Making | ഓടി നടക്കുന്ന ടെന്റ് | M4 Tech |,1173123,33146,1225,M4 Tech,13700000
നിവിൻ പോളിയെ നമ്മൾ പരീക്ഷണത്തിന് എടുത്തപ്പോൾ | Experiment With Nivin Pauly | M4 Tech |,589106,32703,828,M4 Tech,13700000
Salt Making From Sea Water | ഗാന്ധിജി ഉപ്പു കുറുക്കിയ പോലെ | M4 Tech |,2469105,68665,2155,M4 Tech,13700000
GOODAIR Clear & Non electric Purifier #shorts,6401025,179098,534,M4 Tech,13700000
Fire Cracker Tree | പടക്കമരം കത്തിച്ചപ്പോൾ | M4 Tech |,1811059,52138,1238,M4 Tech,13700000
വിഷുക്കണി ഇറക്കിയപ്പോൾ | Vishu Kani Preparation | M4 Tech |,942634,18689,606,M4 Tech,13700000
ഏത് ചൂടിലും ശുദ്ധമായ തണുത്ത വെള്ളം നിങ്ങളുടെ വീട്ടിൽ | Clay Ring Factory Visit | M4 Tech |,1577035,35094,862,M4 Tech,13700000
Vishu Special |  ഈ വിഷുവിന് വെറൈറ്റി പടക്കങ്ങൾ മാത്രം വാങ്ങി പൊട്ടിച്ചാലോ | Akash Fireworks M4 Tech,4817542,72027,1655,M4 Tech,13700000
Dangerous Bee Hive Exploration Adventure | തേനീച്ച മടയിൽ വിരുന്നിന് പോയപ്പോൾ | M4 Tech |,2372581,45851,954,M4 Tech,13700000
